FileName,dataNumber,locationFlag,dataType,picName
SEAL METAL@OP@UCT@Cell,1,NAN,NAN,NAN
LIGHT METAL@OP@UCT@Cell,14,NAN,NAN,NAN
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220710_B64S8DG-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220726_B2BV3JD-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220901_B21U64F-1-3.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20221023_B96K0QC-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220608_B51S8GT-1-1.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220523_B3D90NV-1-1.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220512_B4XQ5LA-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220821_B4QT6RD-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220809_B74J81E-1-1.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220825_B7650CU-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220831_B3423QU-1-3.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220901_B2362AF-1-3.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20221016_BAKU8QN-1-3.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220830_B84972D-1-1.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220912_9H2B77C0W0ED-1-2.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220629_9H2B3E11W0EF-1-1.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20221013_B97A4DH-1-4.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220510_B23Q2EM-1-2.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220924_B92A9PB-1-1.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220718_B56T636-1-3.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220906_B7562GF-1-2.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220925_B7590Z0-1-3.jpg
GLASS CULLET@OP@CF@Cell,141,OP,train,GLASS CULLET@OP@CF@Cell_20220803_B60F22J-1-4.jpg
