/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-5.jpg, TFT, NP,AS-RESIDUE-E
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B5CG7HE-1-3.jpg, CF, NP,CF REPAIR FAIL
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5931DR-1-3.jpg, TFT, NP,PV-HOLE-T
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B51D8NM-1-3.jpg, TFT, NP,ITO-RESIDUE-T
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B21Z2UG-1-3.jpg, TFT, UP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VV1XD-1-3.jpg, CF, NP,CF PS DEFORMATION
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_BCZP9ZM-2-3.jpg, TFT, UP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B52E23E-1-3.jpg, CF, UP,PI SPOT-WITH PAR
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@TFT@Cell_H5E52AH-1-3.jpg, TFT, UP,PI SPOT-WITH PAR
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B4VL8ED-1-3.jpg, CF, OP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5867PQ-1-2.jpg, TFT, NP,AS-RESIDUE-E
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B57D92B-1-3.jpg, CF, OP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_5L3B50E9T0SD-1-3.jpg, TFT, INT,GLASS BROKEN
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B60K3SK-1-3.jpg, CF, NP,CF REPAIR FAIL
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B5BL4HF-1-3.jpg, TFT, OP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B5D73XS-1-3.jpg, TFT, UP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B57S1MF-1-3.jpg, CF, OP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B95E3EM-1-3.jpg, TFT, UP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@TFT@Cell_B58Q52T-1-3.jpg, TFT, UP,PI SPOT-WITH PAR
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B57S1HN-1-3.jpg, TFT, OP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B4U62GC-1-3.jpg, TFT, NP,PV-HOLE-T
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B32S1BD-1-1.jpg, TFT, INT,ESD
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B5AS4CB-1-3.jpg, CF, OP,GLASS CULLET
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5B27LC-2-3.jpg, CF, OP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5868YA-1-5.jpg, TFT, NP,AS-RESIDUE-E
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B55P0CP-1-3.jpg, CF, NP,CF DEFECT
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B59E44Q-1-3.jpg, CF, NP,CF DEFECT
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5581MH-1-3.jpg, CF, OP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4X02WE-1-3.jpg, TFT, OP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B63A1DE-1-3.jpg, CF, UP,PI SPOT-WITH PAR
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B61V4MF-1-3.jpg, CF, NP,CF DEFECT
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_7D3B5370G0CB-1-3.jpg, CF, NP,CF PS DEFORMATION
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B56H6FL-1-3.jpg, TFT, UP,POLYMER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B61V3DG-1-3.jpg, CF, NP,CF REPAIR FAIL
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B4UM8SC-1-3.jpg, TFT, UP,FIBER
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B5AY2QA-1-3.jpg, CF, NP,CF REPAIR FAIL
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B66C6LP-1-4.jpg, TFT, NP,AS-RESIDUE-E
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_H4CZ0QC-1-3.jpg, CF, UP,LIGHT METAL
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VE8EA-1-3.jpg, CF, NP,CF PS DEFORMATION
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_B4SL4CH-1-3.jpg, TFT, INT,GLASS BROKEN
