ImagePath,Layer_1_True,Layer_1_ans,Layer_1_conf,Layer_2_True,Layer_2_ans,Layer_2_conf,Layer_3_True,Layer_3_ans,Layer_3_conf,sub_class,sub_conf,subtwo_class,subtwo_conf,super_class,super_conf
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-5.jpg,TFT,TFT,0.9999,NP,NP,0.7415,AS-RESIDUE-E,M1-ABNORMAL,0.9992,"['NP', 'OP', 'UP', 'INT']","['0.9992', '0.0007', '3.3213', '2.1363']","['M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'POLYMER']","['0.7415', '0.1761', '0.0711', '0.0081', '0.0029']","['TFT', 'CF']","['0.9999', '2.6731']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B5CG7HE-1-3.jpg,CF,CF,0.9999,NP,NP,0.9721,CF REPAIR FAIL,CF REPAIR FAIL,0.9966,"['NP', 'OP', 'INT', 'UP']","['0.9966', '0.0033', '2.1079', '8.7739']","['CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'CF PS DEFORMATION', 'FIBER']","['0.9721', '0.0248', '0.0014', '0.0013', '0.0002']","['CF', 'TFT']","['0.9999', '7.4396']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5931DR-1-3.jpg,TFT,TFT,0.9999,NP,NP,0.9239,PV-HOLE-T,PV-HOLE-T,0.8462,"['NP', 'UP', 'OP', 'INT']","['0.8462', '0.0976', '0.0561', '8.6493']","['PV-HOLE-T', 'POLYMER', 'PI SPOT-WITH PAR', 'FIBER', 'M1-ABNORMAL']","['0.9239', '0.0609', '0.0049', '0.0041', '0.0040']","['TFT', 'CF']","['0.9999', '7.4358']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B51D8NM-1-3.jpg,TFT,TFT,0.9999,NP,NP,0.4373,ITO-RESIDUE-T,ITO-RESIDUE-T,0.9962,"['NP', 'UP', 'OP', 'INT']","['0.9962', '0.0030', '0.0004', '0.0001']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'PI SPOT-WITH PAR']","['0.4373', '0.2958', '0.2058', '0.0309', '0.0149']","['TFT', 'CF']","['0.9999', '5.0948']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B21Z2UG-1-3.jpg,TFT,TFT,0.9999,UP,NP,0.3880,FIBER,ITO-RESIDUE-T,0.7157,"['NP', 'UP', 'OP', 'INT']","['0.7157', '0.2309', '0.0533', '2.7349']","['ITO-RESIDUE-T', 'PV-HOLE-T', 'POLYMER', 'PI SPOT-WITH PAR', 'M1-ABNORMAL']","['0.3880', '0.3102', '0.1016', '0.0889', '0.0864']","['TFT', 'CF']","['0.9999', '4.0995']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VV1XD-1-3.jpg,CF,CF,0.9997,NP,NP,0.9999,CF PS DEFORMATION,CF PS DEFORMATION,0.9999,"['NP', 'OP', 'UP', 'INT']","['0.9999', '7.7192', '2.9847', '9.4432']","['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'ITO-RESIDUE-T', 'GLASS CULLET']","['0.9999', '4.1585', '2.8627', '2.4391', '2.4673']","['CF', 'TFT']","['0.9997', '0.0002']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_BCZP9ZM-2-3.jpg,TFT,TFT,0.9999,UP,UP,0.9548,FIBER,FIBER,0.9909,"['UP', 'NP', 'OP', 'INT']","['0.9909', '0.0082', '0.0007', '5.2627']","['FIBER', 'PI SPOT-WITH PAR', 'POLYMER', 'PV-HOLE-T', 'AS-RESIDUE-E']","['0.9548', '0.0367', '0.0047', '0.0016', '0.0010']","['TFT', 'CF']","['0.9999', '4.4512']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B52E23E-1-3.jpg,CF,CF,0.9999,UP,UP,0.9999,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.9999,"['UP', 'NP', 'OP', 'INT']","['0.9999', '1.9929', '9.0071', '9.9432']","['PI SPOT-WITH PAR', 'LIGHT METAL', 'CF DEFECT', 'CF REPAIR FAIL', 'GLASS CULLET']","['0.9999', '1.6190', '6.3090', '4.8186', '6.1548']","['CF', 'TFT']","['0.9999', '2.3165']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@TFT@Cell_H5E52AH-1-3.jpg,TFT,TFT,0.9957,UP,UP,0.6229,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.9039,"['UP', 'INT', 'NP', 'OP']","['0.9039', '0.0412', '0.0403', '0.0144']","['PI SPOT-WITH PAR', 'ESD', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'FIBER']","['0.6229', '0.2361', '0.0608', '0.0448', '0.0161']","['TFT', 'CF']","['0.9957', '0.0042']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B4VL8ED-1-3.jpg,CF,CF,0.9999,OP,OP,0.5449,POLYMER,POLYMER,0.5579,"['OP', 'NP', 'INT', 'UP']","['0.5579', '0.4411', '0.0009', '7.4617']","['POLYMER', 'CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'FIBER']","['0.5449', '0.3405', '0.0756', '0.0251', '0.0071']","['CF', 'TFT']","['0.9999', '6.9974']"
