ImagePath,Layer_1_True,Layer_1_ans,Layer_1_conf,Layer_2_True,Layer_2_ans,Layer_2_conf,sub_class,sub_conf,super_class,super_conf
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_BCUH9PA-1-1.jpg,INT,NP,0.9900,ESD,M1-ABNORMAL,0.9725,"['M1-ABNORMAL', 'AS-RESIDUE-E', 'ESD', 'PV-HOLE-T', 'ITO-RESIDUE-T']","['0.9725', '0.0214', '0.0027', '0.0014', '0.0010']","['NP', 'INT', 'UP', 'OP']","['0.9900', '0.0093', '0.0005', '3.1726']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B5CG7HE-1-3.jpg,NP,NP,0.9885,CF REPAIR FAIL,CF REPAIR FAIL,0.9958,"['CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'FIBER', 'M1-ABNORMAL']","['0.9958', '0.0027', '0.0006', '0.0004', '0.0001']","['NP', 'OP', 'UP', 'INT']","['0.9885', '0.0113', '0.0001', '1.7981']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5931DR-1-3.jpg,NP,NP,0.8700,PV-HOLE-T,PV-HOLE-T,0.8402,"['PV-HOLE-T', 'POLYMER', 'PI SPOT-WITH PAR', 'AS-RESIDUE-E', 'M1-ABNORMAL']","['0.8402', '0.1506', '0.0058', '0.0013', '0.0013']","['NP', 'UP', 'OP', 'INT']","['0.8700', '0.0834', '0.0459', '0.0005']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B51D8NM-1-3.jpg,NP,NP,0.8833,ITO-RESIDUE-T,ITO-RESIDUE-T,0.5316,"['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'POLYMER']","['0.5316', '0.2216', '0.1209', '0.0612', '0.0464']","['NP', 'UP', 'OP', 'INT']","['0.8833', '0.0729', '0.0437', '4.4855']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B21Z2UG-1-3.jpg,UP,OP,0.9062,FIBER,POLYMER,0.7817,"['POLYMER', 'AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T', 'FIBER']","['0.7817', '0.2026', '0.0108', '0.0017', '0.0015']","['OP', 'NP', 'UP', 'INT']","['0.9062', '0.0922', '0.0014', '5.7299']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VV1XD-1-3.jpg,NP,NP,0.9959,CF PS DEFORMATION,CF PS DEFORMATION,0.9988,"['CF PS DEFORMATION', 'CF DEFECT', 'AS-RESIDUE-E', 'CF REPAIR FAIL', 'GLASS CULLET']","['0.9988', '0.0009', '5.2760', '3.1045', '1.6998']","['NP', 'OP', 'INT', 'UP']","['0.9959', '0.0019', '0.0018', '0.0003']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_BCZP9ZM-2-3.jpg,UP,UP,0.9250,FIBER,FIBER,0.8142,"['FIBER', 'AS-RESIDUE-E', 'PI SPOT-WITH PAR', 'POLYMER', 'ITO-RESIDUE-T']","['0.8142', '0.1441', '0.0224', '0.0148', '0.0025']","['UP', 'NP', 'OP', 'INT']","['0.9250', '0.0403', '0.0343', '0.0003']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B4UJ9QR-1-3.jpg,UP,UP,0.9961,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.7865,"['PI SPOT-WITH PAR', 'LIGHT METAL', 'CF DEFECT', 'POLYMER', 'CF REPAIR FAIL']","['0.7865', '0.1713', '0.0185', '0.0140', '0.0067']","['UP', 'NP', 'OP', 'INT']","['0.9961', '0.0034', '0.0003', '2.8476']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B28X7HB-1-3.jpg,UP,UP,0.9907,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.9770,"['PI SPOT-WITH PAR', 'CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'LIGHT METAL']","['0.9770', '0.0151', '0.0055', '0.0008', '0.0005']","['UP', 'NP', 'INT', 'OP']","['0.9907', '0.0092', '2.3488', '9.1879']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@TFT@Cell_H5E52AH-1-3.jpg,UP,UP,0.9467,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.5790,"['PI SPOT-WITH PAR', 'FIBER', 'POLYMER', 'PV-HOLE-T', 'ITO-RESIDUE-T']","['0.5790', '0.3268', '0.0468', '0.0199', '0.0096']","['UP', 'NP', 'OP', 'INT']","['0.9467', '0.0309', '0.0206', '0.0016']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B4VL8ED-1-3.jpg,OP,OP,0.9999,POLYMER,POLYMER,0.9961,"['POLYMER', 'FIBER', 'GLASS CULLET', 'M1-ABNORMAL', 'CF REPAIR FAIL']","['0.9961', '0.0019', '0.0017', '1.1825', '1.0280']","['OP', 'NP', 'UP', 'INT']","['0.9999', '4.1344', '3.9151', '1.9131']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B57D92B-1-3.jpg,OP,OP,0.9998,FIBER,FIBER,0.8575,"['FIBER', 'POLYMER', 'GLASS CULLET', 'CF REPAIR FAIL', 'M1-ABNORMAL']","['0.8575', '0.1111', '0.0310', '0.0001', '3.5985']","['OP', 'NP', 'UP', 'INT']","['0.9998', '0.0001', '3.3745', '1.8978']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_5L3B50E9T0SD-1-3.jpg,INT,INT,0.9999,GLASS BROKEN,GLASS BROKEN,0.9943,"['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'PV-HOLE-T']","['0.9943', '0.0055', '2.6275', '8.6660', '1.3736']","['INT', 'NP', 'UP', 'OP']","['0.9999', '1.2938', '4.3371', '6.9997']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B60K3SK-1-3.jpg,NP,OP,0.8154,CF REPAIR FAIL,CF REPAIR FAIL,0.5129,"['CF REPAIR FAIL', 'FIBER', 'POLYMER', 'GLASS CULLET', 'CF DEFECT']","['0.5129', '0.4056', '0.0591', '0.0169', '0.0030']","['OP', 'NP', 'UP', 'INT']","['0.8154', '0.1843', '0.0002', '6.2637']"
