ImagePath,super_conf,super_class,sub_conf,sub_class,subtwo_conf,subtwo_class,Layer_1_ans,Layer_1_conf,Layer_2_ans,Layer_2_conf,Layer_3_ans,Layer_3_conf,Layer_1_True,Layer_2_True,Layer_3_True
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B62X9UB-2-3.jpg,"['1.0', '4.0972']","['TFT', 'CF']","['0.9839', '0.0159', '0.0001', '8.1806']","['NP', 'OP', 'UP', 'INT']","['0.5433', '0.4466', '0.0050', '0.0030', '0.0014']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'POLYMER']",TFT,1.0,NP,0.5433,ITO-RESIDUE-T,0.9839,TFT,NP,PV-HOLE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_7D3B5370G0CB-1-3.jpg,"['0.9997', '0.0002']","['CF', 'TFT']","['0.9287', '0.0709', '0.0002', '2.2287']","['NP', 'OP', 'UP', 'INT']","['0.7150', '0.1337', '0.0957', '0.0376', '0.0164']","['CF PS DEFORMATION', 'CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'POLYMER']",CF,0.9997,NP,0.7150,CF PS DEFORMATION,0.9287,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_B54J2KF-1-3.jpg,"['1.0', '4.7691']","['TFT', 'CF']","['0.9999', '3.3619', '3.0844', '1.9780']","['INT', 'NP', 'UP', 'OP']","['0.5816', '0.4161', '0.0021', '2.3769', '2.9410']","['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'PV-HOLE-T', 'CF DEFECT']",TFT,1.0,INT,0.5816,GLASS BROKEN,0.9999,TFT,INT,GLASS BROKEN
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VV2UA-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.9976', '0.0021', '0.0001', '9.8617']","['NP', 'OP', 'UP', 'INT']","['0.8047', '0.1795', '0.0142', '0.0005', '0.0003']","['CF PS DEFORMATION', 'CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'FIBER']",CF,0.9998,NP,0.8047,CF PS DEFORMATION,0.9976,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_5L3B50E9T0SD-1-3.jpg,"['0.9999', '1.0067']","['TFT', 'CF']","['0.9839', '0.0147', '0.0012', '0.0001']","['INT', 'NP', 'UP', 'OP']","['0.9701', '0.0166', '0.0093', '0.0028', '0.0005']","['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'PV-HOLE-T', 'POLYMER']",TFT,0.9999,INT,0.9701,GLASS BROKEN,0.9839,TFT,INT,GLASS BROKEN
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B33D1FE-1-1.jpg,"['1.0', '2.7758']","['TFT', 'CF']","['0.9999', '1.7547', '1.0789', '2.9745']","['INT', 'NP', 'UP', 'OP']","['0.9999', '7.2773', '3.5547', '1.7816', '1.6492']","['ESD', 'M1-ABNORMAL', 'GLASS BROKEN', 'PV-HOLE-T', 'POLYMER']",TFT,1.0,INT,0.9999,ESD,0.9999,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5632QJ-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.9999', '2.5473', '7.8031', '1.8957']","['OP', 'UP', 'NP', 'INT']","['0.9997', '0.0002', '1.7594', '1.4590', '9.9182']","['FIBER', 'POLYMER', 'GLASS CULLET', 'CF REPAIR FAIL', 'PI SPOT-WITH PAR']",CF,0.9998,OP,0.9997,FIBER,0.9999,CF,OP,FIBER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B6197BL-1-3.jpg,"['0.9680', '0.0319']","['CF', 'TFT']","['0.9838', '0.0126', '0.0030', '0.0003']","['NP', 'OP', 'INT', 'UP']","['0.8397', '0.1146', '0.0277', '0.0097', '0.0026']","['CF REPAIR FAIL', 'CF DEFECT', 'POLYMER', 'FIBER', 'ESD']",CF,0.9680,NP,0.8397,CF REPAIR FAIL,0.9838,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B5CM1XB-1-3.jpg,"['0.9999', '5.3401']","['CF', 'TFT']","['0.9999', '1.1990', '2.7434', '1.0229']","['OP', 'NP', 'UP', 'INT']","['0.9950', '0.0049', '2.0343', '1.2820', '8.0896']","['POLYMER', 'GLASS CULLET', 'FIBER', 'CF REPAIR FAIL', 'CF DEFECT']",CF,0.9999,OP,0.9950,POLYMER,0.9999,CF,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5CV42A-1-3.jpg,"['1.0', '2.9124']","['TFT', 'CF']","['0.9594', '0.0228', '0.0176', '6.9608']","['NP', 'OP', 'UP', 'INT']","['0.7268', '0.0781', '0.0766', '0.0722', '0.0378']","['PV-HOLE-T', 'ITO-RESIDUE-T', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'POLYMER']",TFT,1.0,NP,0.7268,PV-HOLE-T,0.9594,TFT,NP,PV-HOLE-T
