ImagePath,super_conf,super_class,sub_conf,sub_class,subtwo_conf,subtwo_class,Layer_1_ans,Layer_1_conf,Layer_2_ans,Layer_2_conf,Layer_3_ans,Layer_3_conf,Layer_1_True,Layer_2_True,Layer_3_True
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B62X9UB-2-3.jpg,"['0.9999', '1.8700']","['TFT', 'CF']","['0.9991', '0.0006', '0.0001', '5.0696']","['NP', 'OP', 'INT', 'UP']","['0.8463', '0.1487', '0.0022', '0.0017', '0.0004']","['M1-ABNORMAL', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'PV-HOLE-T', 'ESD']",TFT,0.9999,NP,0.8463,M1-ABNORMAL,0.9991,TFT,NP,PV-HOLE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_7D3B5370G0CB-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.9892', '0.0106', '4.1299', '2.3698']","['NP', 'OP', 'UP', 'INT']","['0.9871', '0.0083', '0.0036', '0.0007', '8.4494']","['CF PS DEFORMATION', 'CF DEFECT', 'GLASS CULLET', 'CF REPAIR FAIL', 'POLYMER']",CF,0.9998,NP,0.9871,CF PS DEFORMATION,0.9892,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_B54J2KF-1-3.jpg,"['1.0', '3.8130']","['TFT', 'CF']","['1.0', '8.3614', '1.6211', '6.4532']","['INT', 'NP', 'UP', 'OP']","['0.9963', '0.0036', '5.3107', '3.8799', '2.9962']","['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'PV-HOLE-T', 'CF DEFECT']",TFT,1.0,INT,0.9963,GLASS BROKEN,1.0,TFT,INT,GLASS BROKEN
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VV2UA-1-3.jpg,"['0.9999', '2.3304']","['CF', 'TFT']","['0.9996', '0.0002', '0.0001', '2.9643']","['NP', 'UP', 'OP', 'INT']","['0.9867', '0.0103', '0.0027', '5.5716', '5.5569']","['CF PS DEFORMATION', 'CF REPAIR FAIL', 'CF DEFECT', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T']",CF,0.9999,NP,0.9867,CF PS DEFORMATION,0.9996,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_5L3B50E9T0SD-1-3.jpg,"['0.9999', '4.3347']","['TFT', 'CF']","['0.9998', '0.0001', '3.9835', '1.2838']","['INT', 'NP', 'UP', 'OP']","['0.9998', '7.0288', '4.5579', '1.0643', '8.0378']","['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'CF REPAIR FAIL', 'CF DEFECT']",TFT,0.9999,INT,0.9998,GLASS BROKEN,0.9998,TFT,INT,GLASS BROKEN
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B33D1FE-1-1.jpg,"['1.0', '4.5391']","['TFT', 'CF']","['1.0', '2.1839', '1.5093', '5.4593']","['INT', 'UP', 'NP', 'OP']","['1.0', '3.1799', '2.0529', '7.0153', '2.7396']","['ESD', 'GLASS BROKEN', 'M1-ABNORMAL', 'CF REPAIR FAIL', 'POLYMER']",TFT,1.0,INT,1.0,ESD,1.0,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5632QJ-1-3.jpg,"['0.9999', '4.3616']","['CF', 'TFT']","['0.9999', '4.4093', '6.1214', '1.6409']","['OP', 'UP', 'NP', 'INT']","['1.0', '1.3819', '4.6323', '1.7956', '2.6260']","['FIBER', 'POLYMER', 'GLASS CULLET', 'PI SPOT-WITH PAR', 'CF REPAIR FAIL']",CF,0.9999,OP,1.0,FIBER,0.9999,CF,OP,FIBER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B6197BL-1-3.jpg,"['1.0', '4.4025']","['CF', 'TFT']","['0.9991', '0.0008', '3.9067', '2.8772']","['NP', 'OP', 'UP', 'INT']","['0.9994', '0.0005', '2.5152', '2.0414', '1.1443']","['CF REPAIR FAIL', 'FIBER', 'CF DEFECT', 'POLYMER', 'CF PS DEFORMATION']",CF,1.0,NP,0.9994,CF REPAIR FAIL,0.9991,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B5CM1XB-1-3.jpg,"['0.9999', '2.3302']","['CF', 'TFT']","['0.9999', '1.5920', '2.0932', '1.1745']","['OP', 'NP', 'UP', 'INT']","['0.9737', '0.0260', '0.0001', '9.8385', '1.8733']","['POLYMER', 'GLASS CULLET', 'FIBER', 'CF REPAIR FAIL', 'CF DEFECT']",CF,0.9999,OP,0.9737,POLYMER,0.9999,CF,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5CV42A-1-3.jpg,"['0.9999', '1.0955']","['TFT', 'CF']","['0.8467', '0.1502', '0.0026', '0.0003']","['NP', 'UP', 'OP', 'INT']","['0.6423', '0.2551', '0.0324', '0.0245', '0.0187']","['PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'CF REPAIR FAIL']",TFT,0.9999,NP,0.6423,PI SPOT-WITH PAR,0.8467,TFT,NP,PV-HOLE-T
